12117 3.56 0 3.92692 0.596916 -0.274035
12151 3.57 0 3.92693 0.59798 -0.273198
12185 3.58 0 3.92692 0.599027 -0.272363
12219 3.59 0 3.92693 0.600061 -0.271531
12253 3.6 0 3.92693 0.601081 -0.270705
12287 3.61 0 3.92692 0.60209 -0.269886
12321 3.62 0 3.92692 0.603086 -0.269067
12355 3.63 0 3.92693 0.604064 -0.268249
12389 3.64 0 3.92693 0.605025 -0.26744
12423 3.65 0 3.92693 0.605977 -0.266634
12457 3.66 0 3.92692 0.606919 -0.26583
12491 3.67 0 3.92692 0.607843 -0.265032
12525 3.68 0 3.92692 0.608756 -0.26424
12559 3.69 0 3.92691 0.609653 -0.263451
12593 3.7 0 3.92692 0.610541 -0.262666
12627 3.71 0 3.92693 0.611416 -0.261885
12661 3.72 0 3.92693 0.612278 -0.261109
12695 3.73 0 3.92693 0.613126 -0.260339
12729 3.74 0 3.92693 0.613962 -0.259576
12763 3.75 0 3.92693 0.614784 -0.258814
12797 3.76 0 3.92693 0.615597 -0.258059
12831 3.77 0 3.92693 0.616399 -0.25731
12865 3.78 0 3.92693 0.617186 -0.256566
12899 3.79 0 3.92693 0.617962 -0.255827
12933 3.8 0 3.92693 0.618725 -0.255095
12967 3.81 0 3.92693 0.619476 -0.254369
13001 3.82 0 3.92693 0.620221 -0.25365
13035 3.83 0 3.92693 0.62095 -0.252933
13069 3.84 0 3.92692 0.621667 -0.252224
13103 3.85 0 3.92692 0.622375 -0.251515
13137 3.86 0 3.92692 0.623069 -0.250821
13171 3.87 0 3.92692 0.623753 -0.250122
13205 3.88 0 3.92693 0.624429 -0.249439
13239 3.89 0 3.92693 0.625092 -0.24876
13273 3.9 0 3.92694 0.625745 -0.248083
13307 3.91 0 3.92694 0.626389 -0.247415
13341 3.92 0 3.92693 0.62702 -0.246754
13375 3.93 0 3.92693 0.627641 -0.246099
13409 3.94 0 3.92692 0.62825 -0.245453
13443 3.95 0 3.92693 0.628853 -0.244808
13477 3.96 0 3.92693 0.629445 -0.244171
13511 3.97 0 3.92694 0.630026 -0.243541
13545 3.98 0 3.92693 0.630597 -0.242919
13579 3.99 0 3.92694 0.63116 -0.242302
13613 4 0 3.92693 0.631713 -0.241693
13647 4.01 0 3.92693 0.632255 -0.241091
13681 4.02 0 3.92693 0.632787 -0.240491
13715 4.03 0 3.92692 0.633309 -0.239901
13749 4.04 0 3.92692 0.633823 -0.239318
13783 4.05 0 3.92692 0.634333 -0.238745
13817 4.06 0 3.92692 0.634828 -0.238176
13851 4.07 0 3.92693 0.635315 -0.237615
13885 4.08 0 3.92693 0.635795 -0.237062
13919 4.09 0 3.92692 0.636264 -0.236513
13953 4.1 0 3.92691 0.636725 -0.235974
13987 4.11 0 3.92692 0.637182 -0.23544
14021 4.12 0 3.92692 0.637625 -0.234912
14055 4.13 0 3.92692 0.638061 -0.234393
14089 4.14 0 3.92692 0.638487 -0.23388
14123 4.15 0 3.92692 0.638905 -0.233375
14157 4.16 0 3.92692 0.639319 -0.232876
14191 4.17 0 3.92693 0.63972 -0.232386
14225 4.18 0 3.92692 0.640119 -0.2319
14259 4.19 0 3.92692 0.640503 -0.231421
14293 4.2 0 3.92692 0.640882 -0.23095
